candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
705,713,trans_M1,001416,5,1,11,15,0.46570084,1.0546150505486933,0.7601579452743467
706,2398,trans_M3,000818,1,1,10,3,0.16905752,1.3493137224370897,0.7591856212185448
707,756,trans_M1,001504,1,1,2,14,0.631,0.8870892541848203,0.7590446270924102
708,2305,trans_M3,000634,6,0,19,0,0.47624372,1.0408167596876523,0.7585302398438262
709,2389,trans_M3,000802,4,0,12,4,0.5866,0.9304105503899885,0.7585052751949943
710,1257,trans_M2,000534,0,5,0,6,0.0,1.51508869423709,0.757544347118545
711,2253,trans_M3,000534,0,5,0,5,0.0,1.51508869423709,0.757544347118545
712,1531,trans_M2,001070,0,5,5,14,0.0,1.5123565008219118,0.7561782504109559
713,2458,trans_M3,000933,1,2,2,7,0.7594,0.7502282536235836,0.7548141268117918
714,1883,trans_M2,001770,2,0,5,3,1.23553552,0.27339068930176635,0.7544631046508832
715,1858,trans_M2,001717,3,1,10,3,0.8700051999999998,0.6371548243392854,0.7535800121696425
716,1206,trans_M2,000434,4,0,5,2,1.12953868,0.3759323068714647,0.7527354934357324
717,1823,trans_M2,001644,2,1,9,7,1.058832,0.4465030899465198,0.7526675449732599
718,2307,trans_M3,000636,6,0,18,2,0.7718156,0.7334423279336176,0.7526289639668089
719,1311,trans_M2,000636,6,0,16,1,0.56684544,0.93702438141305,0.751934910706525
720,539,trans_M1,001078,0,6,5,13,0.0,1.5036209519462271,0.7518104759731136
721,1535,trans_M2,001078,0,6,4,13,0.0,1.5036209519462271,0.7518104759731136
722,2531,trans_M3,001078,0,6,5,13,0.0,1.5036209519462271,0.7518104759731136
723,2761,trans_M3,001539,1,2,2,13,0.57910608,0.9239100714890329,0.7515080757445165
724,2306,trans_M3,000635,7,0,19,0,0.58270768,0.9198684777541336,0.7512880788770668
725,1903,trans_M2,001803,2,1,10,4,1.02933092,0.4730417361865096,0.7511863280932548
726,1904,trans_M2,001804,2,1,9,4,1.03134456,0.47094823182374723,0.7511463959118736
727,715,trans_M1,001419,4,0,5,15,0.7131951200000001,0.7890922581788897,0.751143689089445
728,1402,trans_M2,000818,1,1,12,4,0.15179263999999998,1.349313722437092,0.750553181218546
729,1325,trans_M2,000661,4,0,16,0,0.45944784000000005,1.039329633368025,0.7493887366840126
730,341,trans_M1,000680,6,0,17,1,0.70270064,0.7959393899858078,0.7493200149929039
731,2833,trans_M3,001676,2,0,8,4,1.2481418400000002,0.24902843367645877,0.7485851368382295
